Street Name	Record Count	Years	Amendment	Notes
1 Barfoot C. L.'s hill	1	1899		
1 Hicks Albert	28	1971		
13 Hill Sydney	4	1899		
14 Lane George	109	1898		
159a-160	66	1936		Investigate
161 and 162	43	1894		
18 Hill Geo. brass finisher	13	1899		
18 Slade B. insptr. per. way	30	1894		
21 Hill Geo. Albt. carpenter	184	1903		
22 Hill H. J. manutfrs' agnt	42	1903		
23-23a	42	1927		Investigate
31 Hill George	8	1899		
35-35a	211	1927; 1936		Investigate
39 Prosser	4	1898		
4 Lipton's Market	30	1894		
41 Hill Thos. Wm. eng. drvr	55	1899		
49 Griffiths D.joinr	33	1898		
49 Hill George	41	1893		
6 Hill Charles	110	1893		
69 Hill George	24	1899		
7/8 Junction Motors	38	1971		
93	63	1894		
Abbey Road	63	1946; 1950; 1971		
Aberthaw Avenue	15	1971	Aberthaw Avenue	
Aberthaw Circle	54	1971	Aberthaw Circle	
Aberthaw Road	379	1897; 1902; 1903; 1905; 1914; 1938; 1946; 1950; 1971		
Acacia Avenue	188	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Acacia Square	87	1927; 1933; 1936; 1938; 1946; 1950; 1971		
Acacia Terrace	220	1893; 1894; 1899; 1902; 1903		
Acacia-avenue	4	1927		
Adam Street	51	1927		
Adelaide Street	213	1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Adeline Street	664	1886; 1890; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Adrian Boult Grn	24	1971		
Agincourt Street	874	1898; 1899; 1902; 1903; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Ailesbury Street	439	1890; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Alanbrooke Av	60	1971		
Albany Chambers	3	1905; 1938; 1946		
Albany Road	109	1902; 1905		Street is now St Vincent's Road. Add marker to St Vincent Road to indicate it used to be Albany Road.
Albany Street	635	1887; 1890; 1894; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Albany Terrace	105	1902; 1914; 1927; 1933; 1936		
Albert	2	1887		INvestigate
Albert Avenue	909	1890; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Albert Hall Chambers	1	1886		
Albert Place	6	1876		
Albert Street	184	1876; 1878; 1886; 1893; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Albert Terrace	219	1876; 1878; 1897; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Albion Chambers	4	1886; 1905; 1938; 1946		
Albion Street	392	1876; 1878; 1886; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950; 1971		
Alder Grove	13	1971	Alder Grove	
Alderney Street	81	1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alexandra Docks	378	1878; 1897; 1905; 1914; 1927; 1936; 1938; 1946; 1950; 1971		
Alexandra Road	1120	1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alexandra School	31	1927		
Alfred Street	314	1876; 1878; 1894; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alice Street	596	1886; 1893; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Allen Close	15	1971	Allen Close	
Allt-y-yn View	28	1936		
Allt-yr-yn	51	1971		
Allt-yr-yn Avenue	512	1927; 1933; 1936; 1938; 1946; 1950		
Allt-yr-yn Close	391	1933; 1936; 1938; 1946; 1950; 1971		
ALLT-YR-YN Crescent	58	1971	Allt-Yr-Yn Crescent	
Allt-yr-yn Hospital	30	1936	Allt-Yr-Yn Hospital	
Allt-yr-yn Road	550	1933; 1936; 1938; 1946; 1950; 1971		
Allt-yr-yn View	271	1938; 1946; 1950; 1971		
Allt-yr-yn Way	10	1971	Allt-Yr-Yn Way	
Alma St. Baptist Church	74	1927	Alma St. Baptist Church	
Alma Street	1220	1876; 1878; 1897; 1905; 1914; 1927; 1933; 1936; 1938; 1946; 1950; 1971		
Alma Street (Upper)	4	1876		
Almond Drive	43	1971	Almond Drive	
Altery Road	74	1893		
Alteryn	110	1878; 1897; 1905; 1914; 1933; 1936; 1938; 1946; 1950		
Alteryn Road	18	1897; 1914		
Alteryns Road	7	1894		
Alteyn Road	97	1894		
Alway Avenue	19	1946		
Alway Close	37	1946; 1950; 1971		
Alway Crescent	59	1946; 1950		
Alway Parade	11	1971	Alway Parade	
Anderson Place	58	1971	Anderson Place	
